size,k,iter,t
160000,3,100,0.001152
160000,3,1000,0.627432
160000,3,5000,3.854647
160000,3,10000,7.899533
160000,5,100,0.001129
160000,5,1000,0.724290
160000,5,5000,4.609269
160000,5,10000,9.157471
160000,10,100,0.001127
160000,10,1000,1.058918
160000,10,5000,6.580127
160000,10,10000,13.779062
160000,20,100,0.001130
160000,20,1000,1.770733
160000,20,5000,11.132368
160000,20,10000,23.064378
160000,3,100,0.001129
160000,3,1000,0.627702
160000,3,5000,3.855228
160000,3,10000,7.898561
160000,5,100,0.001138
160000,5,1000,0.744502
160000,5,5000,4.759478
160000,5,10000,9.467111
160000,10,100,0.001132
160000,10,1000,1.069966
160000,10,5000,6.681418
160000,10,10000,13.827632
160000,20,100,0.001103
160000,20,1000,1.762281
160000,20,5000,11.247915
160000,20,10000,22.893962
160000,3,100,0.001111
160000,3,1000,0.627571
160000,3,5000,3.859023
160000,3,10000,7.898184
160000,5,100,0.001088
160000,5,1000,0.748201
160000,5,5000,4.602202
160000,5,10000,9.151661
160000,10,100,0.001094
160000,10,1000,1.088873
160000,10,5000,6.754958
160000,10,10000,13.408453
160000,20,100,0.001089
160000,20,1000,1.789137
160000,20,5000,11.151906
160000,20,10000,23.046809
160000,3,100,0.001115
160000,3,1000,0.627284
160000,3,5000,3.859667
160000,3,10000,7.900035
160000,5,100,0.001079
160000,5,1000,0.748660
160000,5,5000,4.626202
160000,5,10000,9.442747
160000,10,100,0.001118
160000,10,1000,1.094749
160000,10,5000,6.794744
160000,10,10000,13.689625
160000,20,100,0.001131
160000,20,1000,1.762005
160000,20,5000,11.164839
160000,20,10000,23.103239
160000,3,100,0.001116
160000,3,1000,0.627544
160000,3,5000,3.855863
160000,3,10000,7.899631
160000,5,100,0.001107
160000,5,1000,0.746046
160000,5,5000,4.488738
160000,5,10000,9.437600
160000,10,100,0.001103
160000,10,1000,1.069022
160000,10,5000,6.931394
160000,10,10000,13.544205
160000,20,100,0.001156
160000,20,1000,1.790565
160000,20,5000,11.241581
160000,20,10000,22.968295
320000,3,100,0.001095
320000,3,1000,1.246612
320000,3,5000,7.800629
320000,3,10000,15.993023
320000,5,100,0.001111
320000,5,1000,1.509144
320000,5,5000,9.471451
320000,5,10000,19.420144
320000,10,100,0.001111
320000,10,1000,2.166514
320000,10,5000,13.687899
320000,10,10000,28.345294
320000,20,100,0.001099
320000,20,1000,3.574659
320000,20,5000,22.691920
320000,20,10000,46.441401
320000,3,100,0.001135
320000,3,1000,1.246805
320000,3,5000,7.800407
320000,3,10000,15.993940
320000,5,100,0.001081
320000,5,1000,1.508714
320000,5,5000,9.471560
320000,5,10000,19.422283
320000,10,100,0.001085
320000,10,1000,2.172321
320000,10,5000,13.812481
320000,10,10000,28.349317
320000,20,100,0.001110
320000,20,1000,3.584130
320000,20,5000,22.691530
320000,20,10000,46.570864
320000,3,100,0.001090
320000,3,1000,1.246853
320000,3,5000,7.801239
320000,3,10000,15.993597
320000,5,100,0.001150
320000,5,1000,1.509843
320000,5,5000,9.339747
320000,5,10000,19.423751
320000,10,100,0.001107
320000,10,1000,2.173289
320000,10,5000,13.717440
320000,10,10000,28.252277
320000,20,100,0.001090
320000,20,1000,3.572867
320000,20,5000,22.567728
320000,20,10000,46.292476
320000,3,100,0.001161
320000,3,1000,1.246983
320000,3,5000,7.801583
320000,3,10000,15.994091
320000,5,100,0.001097
320000,5,1000,1.509062
320000,5,5000,9.471008
320000,5,10000,19.424575
320000,10,100,0.001151
320000,10,1000,2.192422
320000,10,5000,13.778347
320000,10,10000,27.977609
320000,20,100,0.001061
320000,20,1000,3.569445
320000,20,5000,22.684822
320000,20,10000,46.222746
320000,3,100,0.001159
320000,3,1000,1.247021
320000,3,5000,7.801370
320000,3,10000,15.993931
320000,5,100,0.001080
320000,5,1000,1.509327
320000,5,5000,9.473847
320000,5,10000,19.423687
320000,10,100,0.001142
320000,10,1000,2.199871
320000,10,5000,13.709165
320000,10,10000,28.037409
320000,20,100,0.001145
320000,20,1000,3.590691
320000,20,5000,22.721447
320000,20,10000,46.553596
